Id Circle-Membership
391 0
524 0
461 0
436 0
373 0
376 0
475 0
348 0
513 1
514 1
107 1
556 1
394 1
651 1
400 1
515 1
559 1
668 1
669 1
542 1
544 1
674 1
676 1
423 1
553 1
683 1
428 1
558 1
431 1
561 1
434 1
563 1
438 1
567 1
641 1
395 1
580 1
566 1
590 1
591 1
465 1
601 1
412 1
604 1
506 1
606 1
607 1
483 1
614 1
363 1
492 1
496 1
370 1
500 1
374 1
378 1
637 1
649 2
427 2
173 2
594 2
667 2
579 3
677 3
684 3
592 3
611 3
597 3
603 3
640 4
643 4
647 4
650 4
658 4
659 4
661 4
662 4
665 4
670 4
675 4
681 4
628 4
576 4
577 4
578 4
582 4
583 4
595 4
599 4
600 4
615 4
627 4
632 4
635 4
678 5
679 5
584 5
682 5
616 5
660 5
631 5
602 5
639 5
644 6
653 6
654 6
655 6
657 6
663 6
664 6
666 6
672 6
680 6
685 6
573 6
574 6
575 6
588 6
589 6
596 6
598 6
605 6
609 6
612 6
422 6
617 6
618 6
619 6
620 6
621 6
622 6
623 6
625 6
626 6
629 6
630 6
633 6
636 6
638 6
